date,day,pillar,hook,visual,offer,status,asset,ig_code,tt_code,yt_code
2026-07-16,01,problem,"Интернет снова нестабилен?","Помехи → режим с антиглушилкой → карточки преимуществ","300 ₽ / 30 дней; 150 ГБ; до 3 устройств",ready,"../way-spn-antijam/output/way-spn-antijam-story-safe-v2.mp4",ig_d01,tt_d01,yt_d01
2026-07-17,02,choice,"Какой тариф Way SPN выбрать за 10 секунд?","Split-screen: обычный тариф и антиглушилка; три различия","Выберите вариант под свой сценарий",script,planned/d02-tariff-choice-master.mp4,ig_d02,tt_d02,yt_d02
2026-07-18,03,price,"VPN на 30 дней — от 200 ₽","Кинетическая карточка обычного тарифа","200 ₽; до 5 устройств; без заданного лимита трафика",script,planned/d03-regular-200-master.mp4,ig_d03,tt_d03,yt_d03
2026-07-19,04,product,"Что входит в 300 ₽?","Три карточки: срок; трафик; устройства","30 дней; 150 ГБ; до 3 устройств",script,planned/d04-bypass-300-master.mp4,ig_d04,tt_d04,yt_d04
2026-07-20,05,savings,"90 дней стоят не 600, а 500 ₽","Анимация расчёта 3 × 200 ₽ → 500 ₽","Обычная подписка на 90 дней; экономия 100 ₽",script,planned/d05-regular-90-master.mp4,ig_d05,tt_d05,yt_d05
2026-07-21,06,savings,"Три месяца антиглушилки дешевле на 100 ₽","Анимация расчёта 3 × 300 ₽ → 800 ₽","Антиглушилка на 90 дней за 800 ₽",script,planned/d06-bypass-90-master.mp4,ig_d06,tt_d06,yt_d06
2026-07-22,07,use_case,"Телефон; ноутбук; планшет — нужен один тариф?","Пять иконок личных устройств вокруг карточки тарифа","Обычная подписка — до 5 устройств",script,planned/d07-five-devices-master.mp4,ig_d07,tt_d07,yt_d07
2026-07-23,08,explainer,"150 ГБ — на весь тариф или на месяц?","Таймлайн 90 дней из трёх 30-дневных циклов","150 ГБ на каждый 30-дневный цикл антиглушилки",script,planned/d08-traffic-cycle-master.mp4,ig_d08,tt_d08,yt_d08
2026-07-24,09,upsell,"Закончился трафик антиглушилки?","Запись экрана реальных пакетов в кабинете","Пять пакетов дополнительного трафика; актуальные цены",script,planned/d09-extra-traffic-master.mp4,ig_d09,tt_d09,yt_d09
2026-07-25,10,feature,"Нужен ещё один слот для устройства?","Запись покупки +1/+2/+3 устройства до конца периода","Дополнительные устройства; общий предел до 10",script,planned/d10-device-addon-master.mp4,ig_d10,tt_d10,yt_d10
2026-07-26,11,payment,"Карта или CryptoBot?","Два подтверждённых способа оплаты на экране","Выберите удобный способ оплаты",script,planned/d11-payment-methods-master.mp4,ig_d11,tt_d11,yt_d11
2026-07-27,12,demo,"Что происходит после оплаты?","Подтверждение платежа → ключ → инструкция","После подтверждения оплаты ключ появляется автоматически",script,planned/d12-after-payment-master.mp4,ig_d12,tt_d12,yt_d12
2026-07-28,13,tutorial,"Как добавить ключ в Happ Plus?","Скачать → скопировать ключ → плюс → вставить → включить","Сохраните инструкцию и получите ключ в боте",script,planned/d13-happ-key-master.mp4,ig_d13,tt_d13,yt_d13
2026-07-29,14,tutorial,"Подключение на Android по шагам","Нарезка из android.mp4 с крупными субтитрами","Получите ключ в Telegram-боте",script,planned/d14-android-master.mp4,ig_d14,tt_d14,yt_d14
2026-07-30,15,tutorial,"Подключение на iPhone по шагам","Нарезка из ios.mp4 с крупными субтитрами","Получите ключ в Telegram-боте",script,planned/d15-ios-master.mp4,ig_d15,tt_d15,yt_d15
2026-07-31,16,objection,"Не используете Telegram?","Регистрация и покупка на wayspn.ru","Альтернативный путь через сайт",script,planned/d16-website-master.mp4,ig_d16,tt_d16,yt_d16
2026-08-01,17,management,"Сменили телефон? Освободите слот","Кабинет → устройства → удаление старого устройства","Управление устройствами в кабинете",script,planned/d17-free-device-master.mp4,ig_d17,tt_d17,yt_d17
